iter	Accuracy	Logloss
0	0.8594217348	0.6446637261
1	0.8614157527	0.6092530514
2	0.8693918245	0.570725324
3	0.8683948156	0.5426481785
4	0.8733798604	0.5135804744
5	0.8733798604	0.4895202089
6	0.8693918245	0.4698541704
7	0.8673978066	0.4504146253
8	0.8693918245	0.434686115
9	0.8644067797	0.4224395296
10	0.8673978066	0.4120212604
11	0.8673978066	0.4016538641
12	0.8683948156	0.3893899357
13	0.8693918245	0.3804039542
14	0.8733798604	0.3724964024
15	0.8763708873	0.3638094201
16	0.8713858425	0.3551657649
17	0.8773678963	0.3461338093
18	0.8813559322	0.3392762691
19	0.8843469591	0.3326356989
20	0.888334995	0.3268669942
21	0.890329013	0.3218208229
22	0.890329013	0.3169689236
23	0.8943170489	0.3111828151
24	0.8943170489	0.304842096
25	0.8933200399	0.3016906312
26	0.8963110668	0.2956052193
27	0.8953140578	0.2940246947
28	0.8983050847	0.2890795996
29	0.8953140578	0.2853024179
30	0.8953140578	0.2833876909
31	0.8973080758	0.2811142987
32	0.8963110668	0.2760558656
33	0.8963110668	0.2729375351
34	0.8973080758	0.2716728355
