iter	Accuracy	Logloss
0	0.8512974052	0.6461338797
1	0.8463073852	0.6067950768
2	0.8602794411	0.5732327459
3	0.8582834331	0.5443994823
4	0.8562874251	0.518965487
5	0.8532934132	0.4996431088
6	0.8522954092	0.4763247248
7	0.8602794411	0.458975573
8	0.8622754491	0.442712445
9	0.8632734531	0.4307983764
10	0.8642714571	0.4194324973
11	0.8612774451	0.4100776109
12	0.8632734531	0.4011338285
13	0.8652694611	0.3920456207
14	0.8672654691	0.3839136303
15	0.870259481	0.3737745761
16	0.8682634731	0.3672729614
17	0.873253493	0.3588283638
18	0.874251497	0.3518933812
19	0.875249501	0.3458915604
20	0.874251497	0.3414041668
21	0.876247505	0.3355298985
22	0.878243513	0.3312327067
23	0.877245509	0.3277958244
24	0.876247505	0.324103106
25	0.877245509	0.3199006954
26	0.876247505	0.3164539756
27	0.876247505	0.3149251728
28	0.879241517	0.3113973469
29	0.880239521	0.3087860534
30	0.8872255489	0.3035484816
31	0.8862275449	0.3007104687
32	0.8872255489	0.2970561562
33	0.8862275449	0.295135163
34	0.8882235529	0.2933754074
35	0.8882235529	0.2906791398
36	0.8902195609	0.2863878566
37	0.8922155689	0.2836348482
