iter	Passed	Remaining
0	196	196503
1	260	129966
2	394	131231
3	435	108412
4	623	124152
5	676	112080
6	872	123790
7	1076	133547
8	1156	127301
9	1348	133548
10	1541	138564
11	1752	144274
12	1809	137408
13	2020	142320
14	2286	150172
15	2490	153185
16	2534	146555
17	2567	140065
18	2761	142579
19	2905	142356
20	2970	138474
21	3016	134080
22	3215	136601
23	3450	140305
24	3660	142748
25	3866	144855
26	3904	140721
27	3935	136605
28	4142	138686
29	4360	140991
30	4438	138738
31	4514	136570
32	4712	138078
33	4789	136066
34	4985	137449
35	5202	139321
36	5240	136382
37	5435	137603
38	5630	138741
39	5707	136982
40	5903	138082
41	6134	139921
42	6266	139473
43	6460	140369
44	6656	141275
45	6706	139077
46	6904	139996
47	7107	140968
48	7316	141992
49	7523	142955
50	7734	143913
51	7934	144656
52	8132	145316
53	8381	146837
54	8598	147736
55	8797	148304
56	9012	149102
57	9235	149995
58	9274	147921
59	9465	148288
60	9669	148842
61	9876	149418
62	9998	148711
63	10197	149134
64	10398	149571
65	10600	150017
66	10802	150431
67	11017	151001
68	11222	151425
69	11425	151800
70	11621	152058
71	11820	152356
72	12013	152555
73	12210	152792
74	12400	152943
75	12612	153346
76	12807	153520
77	13012	153809
78	13235	154302
79	13439	154555
80	13664	155030
81	13695	153324
82	13902	153598
83	14136	154151
84	14373	154723
85	14578	154942
86	14775	155053
87	14830	153694
88	15018	153733
89	15228	153978
90	15446	154299
91	15640	154368
92	15837	154456
93	16046	154663
94	16275	155049
95	16485	155235
96	16695	155427
97	16898	155534
98	17092	155558
99	17290	155617
100	17520	155947
101	17744	156223
102	17946	156295
103	18190	156715
104	18428	157077
105	18625	157083
106	18875	157533
107	19084	157621
108	19283	157629
109	19500	157776
110	19699	157770
111	19911	157865
112	20103	157804
113	20137	156510
114	20332	156473
115	20528	156441
116	20725	156415
117	20940	156519
118	21170	156733
119	21369	156711
120	21588	156831
121	21791	156827
122	21917	156276
123	22121	156275
124	22341	156390
125	22553	156444
126	22778	156578
127	22987	156604
128	23200	156648
129	23415	156706
130	23614	156645
131	23660	155586
132	23860	155544
133	24076	155600
134	24317	155815
135	24389	154944
136	24580	154837
137	24790	154849
138	24995	154826
139	25197	154781
140	25402	154756
141	25633	154884
142	25858	154971
