iter	Accuracy	Logloss
106	0.9305666401	0.1963152935
107	0.9313647247	0.1953897925
108	0.9321628093	0.1939455658
109	0.934557063	0.1930848873
110	0.9337589785	0.1923261126
111	0.9353551476	0.1911852716
112	0.9353551476	0.1905726427
113	0.9361532322	0.1898160114
114	0.9361532322	0.1890576143
115	0.9369513168	0.188195925
116	0.9361532322	0.186312932
117	0.9369513168	0.1858626942
118	0.9361532322	0.1851324521
119	0.9377494014	0.1846610737
120	0.9377494014	0.1840156987
121	0.9393455706	0.1829971959
122	0.9401436552	0.1822983239
123	0.9417398244	0.1815068518
124	0.9401436552	0.1808867945
125	0.9393455706	0.1805544501
126	0.9393455706	0.1802322132
127	0.9401436552	0.1796137269
128	0.9409417398	0.1789702273
129	0.9409417398	0.1784116558
130	0.9409417398	0.1782156053
131	0.9409417398	0.1780312577
132	0.9417398244	0.1774435934
133	0.9417398244	0.1767946382
134	0.9417398244	0.1762615183
135	0.9417398244	0.1757335495
136	0.9417398244	0.1749583957
137	0.9417398244	0.174427346
138	0.9433359936	0.173299523
139	0.9433359936	0.1730831843
140	0.9433359936	0.1730643209
141	0.9433359936	0.1728353173
142	0.9441340782	0.1724920859
143	0.9433359936	0.1718785803
144	0.9457302474	0.171297699
145	0.946528332	0.1708975363
146	0.946528332	0.1703036126
147	0.946528332	0.1697919987
148	0.946528332	0.1689502202
149	0.9473264166	0.1681664445
150	0.9473264166	0.1674710918
151	0.9481245012	0.1669057007
152	0.9489225858	0.1668343144
153	0.9497206704	0.1663465081
154	0.950518755	0.1655075305
155	0.950518755	0.1643330908
156	0.950518755	0.1642392852
157	0.9513168396	0.1638966139
158	0.9521149242	0.163598209
159	0.9513168396	0.1635490716
160	0.9513168396	0.162638939
161	0.9521149242	0.1618215161
162	0.9529130088	0.1616314936
163	0.9529130088	0.1613756623
164	0.9529130088	0.1610911401
165	0.9537110934	0.1600901367
166	0.9537110934	0.1598650909
167	0.9537110934	0.1593421151
168	0.9553072626	0.1587628778
169	0.954509178	0.1585531151
170	0.9553072626	0.1576844479
171	0.9561053472	0.1574903094
172	0.9553072626	0.1569299599
173	0.9561053472	0.1559120294
174	0.9561053472	0.1555443206
175	0.9569034318	0.1551454731
176	0.9569034318	0.1539425009
177	0.9577015164	0.1529362245
178	0.958499601	0.1518288724
179	0.958499601	0.1511745103
180	0.9592976856	0.1504077226
181	0.958499601	0.1502795878
182	0.9577015164	0.1498723133
183	0.958499601	0.1491562462
184	0.9592976856	0.1487419086
185	0.9600957702	0.148511334
186	0.9600957702	0.148106008
187	0.9608938547	0.1478923728
188	0.9600957702	0.1473354574
189	0.9600957702	0.1471700585
190	0.9616919393	0.1463943323
191	0.9608938547	0.1460675044
192	0.9608938547	0.1451632902
193	0.9608938547	0.1446612846
194	0.9608938547	0.1442695612
195	0.9616919393	0.1429907577
196	0.9608938547	0.1427974107
197	0.9608938547	0.1420435072
198	0.9616919393	0.1413284752
199	0.9632881085	0.1403062703
200	0.9624900239	0.1398509422
201	0.9632881085	0.139415951
202	0.9640861931	0.1389483355
203	0.9624900239	0.1383520859
204	0.9648842777	0.1368639094
205	0.9648842777	0.1367600693
206	0.9656823623	0.1363366957
207	0.9672785315	0.1356216029
208	0.9680766161	0.1344218699
209	0.9672785315	0.1339028032
210	0.9672785315	0.1332238419
211	0.9672785315	0.1328343713
212	0.9672785315	0.1322994491
213	0.9680766161	0.1319032686
214	0.9688747007	0.131466061
215	0.9688747007	0.1312684883
216	0.9688747007	0.1311449445
217	0.9696727853	0.1307010027
218	0.9696727853	0.1301103304
219	0.9696727853	0.1295978762
220	0.9696727853	0.1295126072
221	0.9696727853	0.1285088395
222	0.9696727853	0.1280857704
223	0.9704708699	0.1277386177
224	0.9696727853	0.1274527803
225	0.9704708699	0.1268685623
226	0.9712689545	0.1257283788
227	0.9704708699	0.1251700509
228	0.9720670391	0.1244215421
229	0.9712689545	0.1239270624
230	0.9712689545	0.1232201408
231	0.9712689545	0.1231424342
232	0.9720670391	0.1223608993
233	0.9720670391	0.1221829694
234	0.9720670391	0.1215822505
235	0.9720670391	0.1215047509
236	0.9720670391	0.1214326339
237	0.9744612929	0.120841365
238	0.9752593775	0.1201421155
239	0.9752593775	0.1196704813
240	0.9752593775	0.1194053218
241	0.9768555467	0.1188559323
242	0.9776536313	0.1181374175
243	0.9784517159	0.1178988908
244	0.9784517159	0.1175649389
245	0.9784517159	0.1168099759
246	0.9792498005	0.116427398
247	0.9808459697	0.1159737382
248	0.9808459697	0.1159438417
249	0.9800478851	0.1156475436
250	0.9808459697	0.1152451524
251	0.9808459697	0.114477561
252	0.9808459697	0.1142411898
253	0.9808459697	0.1137949707
254	0.9808459697	0.1135577714
255	0.9800478851	0.1133614774
256	0.9792498005	0.1125695791
257	0.9792498005	0.1122772874
258	0.9792498005	0.111877344
259	0.9792498005	0.1116104552
260	0.9792498005	0.1112207655
261	0.9792498005	0.1108626771
262	0.9792498005	0.11073151
263	0.9800478851	0.109911822
264	0.9800478851	0.1093881399
265	0.9800478851	0.1093621768
266	0.9800478851	0.109297951
267	0.9800478851	0.1092099542
268	0.9816440543	0.1083523202
269	0.9816440543	0.1082159166
270	0.9808459697	0.108138892
271	0.9816440543	0.1080036574
272	0.9816440543	0.1078011284
273	0.9816440543	0.1073561514
274	0.9816440543	0.1071888649
275	0.9816440543	0.107167639
276	0.9824421389	0.106820328
277	0.9824421389	0.1066890025
278	0.9824421389	0.1064117018
279	0.9824421389	0.1063705164
280	0.9816440543	0.1058996007
281	0.9824421389	0.1057048533
282	0.9816440543	0.1053393121
283	0.9816440543	0.1051318876
284	0.9824421389	0.1045440649
285	0.9824421389	0.1040431918
286	0.9832402235	0.1038923088
287	0.9832402235	0.1038560068
288	0.9832402235	0.1036530881
289	0.9832402235	0.1034241332
290	0.9832402235	0.1033484968
291	0.9832402235	0.1033088702
292	0.9832402235	0.1032732867
293	0.9832402235	0.103231322
294	0.9832402235	0.1028075953
295	0.9832402235	0.1026234669
296	0.9832402235	0.1025981492
297	0.9832402235	0.1022812584
298	0.9832402235	0.102249109
299	0.9840383081	0.1018646252
300	0.9832402235	0.10173126
301	0.9840383081	0.1014590008
302	0.9840383081	0.1011411419
303	0.9840383081	0.1009700011
304	0.9840383081	0.1007066561
305	0.9840383081	0.100613575
306	0.9840383081	0.1004564631
307	0.9840383081	0.1002435768
308	0.9840383081	0.1002137655
309	0.9840383081	0.09992319702
310	0.9840383081	0.09960939327
311	0.9840383081	0.09899978455
312	0.9840383081	0.09834253017
313	0.9840383081	0.09815735448
314	0.9840383081	0.09812785984
315	0.9840383081	0.09768102574
316	0.9840383081	0.09765409453
317	0.9840383081	0.09752225762
318	0.9840383081	0.09747842361
319	0.9840383081	0.09743772539
320	0.9840383081	0.09715106596
321	0.9840383081	0.09701506424
322	0.9840383081	0.09686907063
323	0.9840383081	0.09659829105
324	0.9840383081	0.09656789525
325	0.9848363927	0.09588635225
326	0.9848363927	0.09586291606
327	0.9840383081	0.09576916523
328	0.9848363927	0.09541066285
329	0.9848363927	0.0952543729
330	0.9848363927	0.09497718781
331	0.9848363927	0.09479578114
332	0.9848363927	0.09465289896
333	0.9848363927	0.094456404
334	0.9848363927	0.09429761151
335	0.9856344773	0.09372579052
336	0.9856344773	0.09344543311
337	0.9856344773	0.0931810408
338	0.9856344773	0.09301875328
339	0.9856344773	0.0927601576
340	0.9856344773	0.09265879565
341	0.9856344773	0.09263954254
342	0.9856344773	0.09229523338
343	0.9856344773	0.09194921325
344	0.9856344773	0.09189276303
345	0.9856344773	0.09178614635
346	0.9856344773	0.0915173335
347	0.9856344773	0.09118704708
348	0.9856344773	0.09117070447
349	0.9856344773	0.0910541507
350	0.9856344773	0.09096125841
351	0.9856344773	0.09085890396
352	0.9856344773	0.09077816512
353	0.9856344773	0.09062194215
354	0.9864325619	0.09000975174
355	0.9864325619	0.08986906157
356	0.9872306464	0.08952615286
357	0.9872306464	0.08942329303
358	0.9872306464	0.08934749229
359	0.9872306464	0.08927628867
360	0.9872306464	0.08925627444
361	0.988028731	0.08876305509
362	0.988028731	0.08863125472
363	0.988028731	0.08842748351
364	0.9872306464	0.08832381995
365	0.988028731	0.0880169271
366	0.988028731	0.08759598302
367	0.988028731	0.08714260336
368	0.9872306464	0.0868566746
369	0.9872306464	0.08674862094
370	0.9872306464	0.08672981232
371	0.9872306464	0.08671835909
372	0.9872306464	0.08638619121
373	0.9872306464	0.08597257817
374	0.9872306464	0.08596550895
375	0.9872306464	0.08556961461
376	0.9872306464	0.08542405941
