iter	Passed	Remaining
0	188	187863
1	238	118998
2	443	147440
3	527	131317
4	738	146897
5	985	163232
6	1039	147422
7	1234	153097
8	1273	140194
9	1486	147183
10	1715	154204
11	1914	157645
12	2117	160778
13	2334	164421
14	2550	167495
15	2785	171337
16	2996	173265
17	3035	165597
18	3156	162989
19	3362	164780
20	3555	165755
21	3752	166797
22	3969	168600
23	4169	169546
24	4293	167427
25	4495	168421
26	4697	169294
27	4889	169745
28	5092	170518
29	5173	167269
30	5387	168405
31	5433	164372
32	5627	164905
33	5842	165990
34	6031	166304
35	6079	162787
36	6285	163586
37	6484	164166
38	6687	164779
39	6893	165453
40	7083	165686
41	7291	166321
42	7485	166586
43	7517	163332
44	7699	163391
45	7895	163753
46	8090	164055
47	8277	164167
48	8315	161382
49	8510	161700
50	8704	161979
51	8892	162124
52	9082	162291
