iter	Accuracy	Logloss
0	0.8493013972	0.6540393334
1	0.8493013972	0.6128405421
2	0.8473053892	0.5784467442
3	0.8532934132	0.5498398954
4	0.8582834331	0.5202575805
5	0.8592814371	0.4967890147
6	0.8642714571	0.4752921525
7	0.872255489	0.4594495092
8	0.869261477	0.4455434833
9	0.8672654691	0.4320613229
10	0.8672654691	0.4200987064
11	0.871257485	0.4081050545
12	0.870259481	0.397475374
13	0.8672654691	0.3870918441
14	0.870259481	0.3783494413
15	0.873253493	0.3699795843
16	0.878243513	0.3601007214
17	0.881237525	0.354570583
18	0.8822355289	0.3477871832
19	0.8822355289	0.3414333442
20	0.8832335329	0.3364453344
21	0.8842315369	0.3319928441
22	0.8842315369	0.3267111103
23	0.8882235529	0.3210921297
24	0.8892215569	0.3157979086
25	0.8922155689	0.3092202436
26	0.8922155689	0.3039629055
27	0.8902195609	0.2997809313
28	0.8922155689	0.2963130136
29	0.8922155689	0.2933383416
30	0.8982035928	0.2885143409
31	0.8962075848	0.2867658238
32	0.9011976048	0.2813986894
33	0.9011976048	0.2786268893
34	0.9011976048	0.2755604514
35	0.9021956088	0.2742860531
36	0.9031936128	0.2706085631
37	0.9041916168	0.2677293728
38	0.9051896208	0.2650628309
39	0.9051896208	0.262527679
40	0.9051896208	0.2599413295
41	0.9081836327	0.2570477027
42	0.9091816367	0.2541795986
43	0.9091816367	0.2537886568
44	0.9121756487	0.250723361
45	0.9121756487	0.2480319055
46	0.9131736527	0.2452081159
47	0.9121756487	0.2429899113
48	0.9121756487	0.2420287903
49	0.9131736527	0.2400678684
50	0.9161676647	0.2376104724
51	0.9161676647	0.2359004525
52	0.9191616766	0.2340242763
