iter	Passed	Remaining
0	35	35603
1	74	37376
2	273	90977
3	489	121893
4	702	139775
5	759	125870
6	950	134848
7	1028	127515
8	1221	134499
9	1435	142099
10	1638	147329
11	1839	151413
12	1882	142940
13	2078	146380
14	2300	151090
15	2509	154315
16	2723	157471
17	2925	159623
18	3147	162500
19	3357	164511
20	3571	166501
21	3619	160891
22	3693	156913
23	3885	157992
24	4082	159200
25	4204	157495
26	4405	158747
27	4466	155058
28	4673	156479
29	4720	152641
30	4916	153690
31	5107	154513
32	5339	156464
33	5561	158014
34	5767	159025
35	5981	160168
36	6202	161437
37	6406	162197
38	6620	163133
39	6850	164400
40	7060	165146
41	7131	162669
42	7330	163142
43	7535	163732
44	7573	160717
45	7773	161206
46	7988	161984
47	8197	162583
48	8270	160519
49	8464	160818
50	8673	161400
51	8878	161861
52	8908	159175
53	9102	159462
54	9303	159853
55	9350	157615
56	9572	158373
57	9676	157156
58	9716	154974
59	9916	155353
60	10124	155848
61	10337	156389
62	10536	156709
63	10737	157029
64	10936	157317
65	11152	157829
66	11345	157992
67	11535	158098
68	11725	158209
69	11920	158373
70	12140	158855
71	12338	159031
72	12545	159316
73	12780	159932
74	13007	160431
75	13054	158716
76	13260	158947
77	13459	159092
78	13659	159243
79	13879	159610
80	14107	160061
81	14319	160308
82	14513	160349
83	14718	160505
84	14918	160596
