iter	Accuracy	Logloss
0	0.8404785643	0.6393004823
1	0.8404785643	0.598680095
2	0.8584247258	0.5655474981
3	0.8673978066	0.538069203
4	0.8634097707	0.5077524993
5	0.8614157527	0.4881329522
6	0.8644067797	0.4681114433
7	0.8693918245	0.4464593281
8	0.8693918245	0.4312079022
9	0.8713858425	0.4174818684
10	0.8673978066	0.4054320194
11	0.8753738784	0.3931567419
12	0.8783649053	0.3869665114
13	0.8773678963	0.3750002434
14	0.8753738784	0.3675279094
15	0.8813559322	0.3562757772
16	0.8803589232	0.3489936684
17	0.8843469591	0.339036875
18	0.8833499501	0.3343820467
19	0.8823529412	0.3278968028
20	0.8853439681	0.3212950869
21	0.8863409771	0.3162329418
22	0.890329013	0.3122346218
23	0.8953140578	0.3074597314
24	0.8983050847	0.3027678439
25	0.9022931206	0.2959890774
26	0.8993020937	0.2925817883
27	0.8973080758	0.2876015204
28	0.9012961117	0.2838134157
29	0.9032901296	0.2797851563
30	0.9042871386	0.2771232202
31	0.9082751745	0.2725576931
32	0.9112662014	0.2698721767
33	0.9102691924	0.2675321813
34	0.9132602193	0.264314235
35	0.9092721834	0.2615895599
36	0.9092721834	0.257682245
37	0.9102691924	0.2552688005
38	0.9152542373	0.2520487549
39	0.9172482552	0.2503904607
40	0.9182452642	0.2480174832
41	0.9162512463	0.2461727823
42	0.9192422732	0.2440152534
43	0.9172482552	0.2406438521
44	0.9182452642	0.2399490067
45	0.9222333001	0.2377067558
46	0.9202392822	0.2359028566
47	0.9232303091	0.2328285529
48	0.9222333001	0.2314726962
49	0.9212362911	0.2289806301
50	0.9232303091	0.2267838361
51	0.924227318	0.2242770742
52	0.925224327	0.2234889417
53	0.926221336	0.2218659269
54	0.925224327	0.2198329937
55	0.925224327	0.2191196491
56	0.924227318	0.217712737
57	0.9292123629	0.2156186774
58	0.9292123629	0.2153769709
59	0.9302093719	0.2131524737
60	0.9332003988	0.2118393964
61	0.9341974078	0.2101989929
62	0.9341974078	0.2098141458
63	0.9341974078	0.2078434192
64	0.9341974078	0.2074071061
65	0.9381854437	0.205026309
66	0.9381854437	0.2038505912
67	0.9381854437	0.2022914259
68	0.9401794616	0.2005292716
69	0.9391824526	0.1987504588
70	0.9391824526	0.1976652592
71	0.9391824526	0.1962962127
72	0.9381854437	0.1959813918
73	0.9411764706	0.1946818693
74	0.9401794616	0.1940001376
75	0.9401794616	0.1936900176
76	0.9421734796	0.1927633847
77	0.9431704885	0.1912578609
78	0.9431704885	0.1903019579
79	0.9441674975	0.1894397526
80	0.9451645065	0.188178689
81	0.9451645065	0.1867009445
82	0.9441674975	0.1859795826
83	0.9461615155	0.1847073526
84	0.9461615155	0.1841404041
